TEAM,TEAM_ID
Dallas Mavericks,1610612742
Milwaukee Bucks,1610612749
Atlanta Hawks,1610612737
Denver Nuggets,1610612743
Houston Rockets,1610612745
Indiana Pacers,1610612754
Oklahoma City Thunder,1610612760
Chicago Bulls,1610612741
Orlando Magic,1610612753
Boston Celtics,1610612738
New York Knicks,1610612752
Charlotte Hornetsrlotte Hornets,1610612766
Sacramento Kings,1610612758
Miami Heat,1610612748
Los Angeles Clippers,1610612746
Golden State Warriors,1610612744
Portland Trailerblazers,1610612757
Los Angeles Lakers,1610612747
Minnesota Timberwolves,1610612750
Washington Wizards,1610612764
Brooklyn Nets,1610612751
Detroit Pistons,1610612765
San Antonio Spurs,1610612759
Phoenix Suns,1610612756
Memphis Grizzlies,1610612763
New Orleans Pelicans,1610612740
Utah Jazz,1610612762
Toronto Raptors,1610612761
Philadelphia 76ers,1610612755
Cleveland Caveliers,1610612739
