COUNTRY,COUNTRY_ID
Canada,1
USA,2
Mali,3
United Kingdom,4
Dominican Republic,5
Serbia,6
Ukraine,7
Turkey,8
Australia,9
France,10
DRC,11
Croatia,12
Sudan,13
Angola,14
Bahamas,15
Japan,16
Nigeria,17
Saint Lucia,18
Switzerland,19
British Virgin Islands,20
Germany,21
Italy,22
Israel,23
Lithuania,24
South Sudan,25
Latvia,26
Greece,27
Georgia,28
Brazil,29
Estonia,30
Senegal,31
Austria,32
Poland,33
Cameroon,34
Bosnia and Herzegovina,35
Finland,36
Slovenia,37
Guinea,38
Ghana,39
Portugal,40
Jamaica,41
Montenegro,42
Spain,43
Bulgaria,44
Belgium,45
Czech Republic,46
