TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME
1610612747,LAL,Los Angeles Lakers
1610612762,UTA,Utah Jazz
1610612751,NJN,New Jersey Nets
1610612759,SAS,San Antonio Spurs
1610612740,NOH,New Orleans Hornets
1610612763,MEM,Memphis Grizzlies
1610612749,MIL,Milwaukee Bucks
1610612764,WAS,Washington Wizards
1610612744,GSW,Golden State Warriors
1610612765,DET,Detroit Pistons
1610612739,CLE,Cleveland Cavaliers
1610612761,TOR,Toronto Raptors
1610612748,MIA,Miami Heat
1610612753,ORL,Orlando Magic
1610612750,MIN,Minnesota Timberwolves
1610612755,PHI,Philadelphia 76ers
1610612758,SAC,Sacramento Kings
1610612745,HOU,Houston Rockets
1610612741,CHI,Chicago Bulls
1610612757,POR,Portland Trail Blazers
1610612752,NYK,New York Knicks
1610612742,DAL,Dallas Mavericks
1610612738,BOS,Boston Celtics
1610612766,CHA,Charlotte Bobcats
1610612743,DEN,Denver Nuggets
1610612737,ATL,Atlanta Hawks
1610612754,IND,Indiana Pacers
1610612760,OKC,Oklahoma City Thunder
1610612746,LAC,Los Angeles Clippers
1610612756,PHX,Phoenix Suns
1612709917,SPG,Springfield Armor
1612709902,DAK,Dakota Wizards
1612709913,ERI,Erie BayHawks
1612709889,TUL,Tulsa 66ers
1612709890,AUS,Austin Toros
1612709910,FWN,Fort Wayne Mad Ants
1612709911,IWA,Iowa Energy
1612709905,LAD,Los Angeles D-Fenders
1612709900,BAK,Bakersfield Jam
1612709908,RGV,Rio Grande Valley Vipers
1612709893,CTN,Canton Charge
1612709915,MNE,Maine Red Claws
1612709918,TEX,Texas Legends
1612709914,RNO,Reno Bighorns
1612709904,SXF,Sioux Falls Skyforce
1612709903,IDA,Idaho Stampede
1610612751,BKN,Brooklyn Nets
1612709902,SCW,Santa Cruz Warriors
1610612740,NOP,New Orleans Pelicans
1612709909,DEL,Delaware 87ers
1610612766,CHA,Charlotte Hornets
1612709919,WES,Westchester Knicks
1612709917,GRD,Grand Rapids Drive
1612709889,OKL,Oklahoma City Blue
1612709890,AUS,Austin Spurs
1610612746,LAC,LA Clippers
1612709920,RAP,Raptors 905
1612709921,LIN,Long Island Nets
1612709923,WCB,Windy City Bulls
1612709903,SLC,Salt Lake City Stars
1612709900,NAS,Northern Arizona Suns
1612709922,GBO,Greensboro Swarm
1612709926,MHU,Memphis Hustle
1612709924,ACC,Agua Caliente Clippers
1612709911,IWA,Iowa Wolves
1612709925,LAK,Lakeland Magic
1612709905,SBL,South Bay Lakers
1612709927,WIS,Wisconsin Herd
1612709928,CAP,Capital City Go-Go
1612709909,DEL,Delaware Blue Coats
1612709914,STO,Stockton Kings
1612709929,CPS,College Park Skyhawks
1612709930,GLI,G League Ignite
1612709917,GRG,Grand Rapids Gold
1612709893,CLC,Cleveland Charge
1612709915,MNE,Maine Celtics
1612709928,CCG,Capital City Go-Go
1612709932,MCC,Motor City Cruise
1612709913,BIR,Birmingham Squadron
1612709925,OSC,Osceola Magic
1612709913,BHM,Birmingham Squadron
1612709931,MXC,Mexico City Capitanes
1612709924,ONT,Ontario Clippers
